;Nama;Spesialisasi;Fakultas;Link Scholar
92;Edy Fradinata., ST., M.T., Ph.D. IPM ;Optimization, Supply Chain, Data Mining, Chemical and Industrial engineering;FT;https://scholar.google.co.id/citations?user=bsFu6qMAAAAJ&hl=en&oi=ao
93;Era Nopera Rauzi., S.T., M. Arch. ;Architecture and Landscape Design, Mitigation Tsunami Disaster, and Heritage;FT;https://scholar.google.co.id/citations?user=OQf_I9gAAAAJ&hl
94;Fachrul Razi., Dr., ST., M.T ;Membrane Technology and Polymeric Materials;FT;https://scholar.google.co.id/citations?user=_E-SdOAAAAAJ&hl=en
95;Fachrurrazi., Dr., S.T., MT ;Construction Management and Technology;FT;https://scholar.google.com/citations?hl=en&user=utIFJYUAAAAJ&btnA=1&view_op=list_works&gmla=AJsN-F4paLhRiT4MJA1BKdErpa3u66j76d7b_FO49J6dteHtV3ZrBHUTJXP8CtBX0gAwCpyv1itUtaYtI4TILs0U7nrRviYzP4USXzFJK55e8uSz51gSUUEV5T9YRdcVjDClsD05rrfG
96;Farid Mulana., Dr., S.T., M.Eng ;hydrogen storage material, adsorpsi;FT;https://scholar.google.com/citations?user=FD9ykcoAAAAJ&hl=en
97;Fitri Arnia., Dr., S.T., M.Eng.Sc ;signal, image and multimedia information processing;FT;https://scholar.google.co.id/citations?user=B9MJSLgAAAAJ&hl=id&oi=ao
98;Halida Yunita., Dr., S.T., M.T. ;;FT;https://scholar.google.co.id/citations?hl=en&user=Ax68EH4AAAAJ&view_op=list_works&gmla=AJsN-F7ZYWe8EaX5_o4CQtifjri8jkrVY2rKJLYaYk5Hh9A8mJk9WHYnL24S6tlv2RnsaHCiy-I3sHyfVclxtZNROdiEFWq92jevIT7TMWceom55mCLql04
99;Hamdani., Dr. Ir., M.T. ;Renewable Energy, Phase Change Material;FT;https://scholar.google.co.id/citations?user=d_mnDBgAAAAJ&hl=en
100;Hasan Yudie Sastra., Dr. Ir., DEA ;Industrial Feasibility Studies, Industrial Project Engineering and Competitiveness;FT;https://scholar.google.co.id/citations?user=ApnTuDgAAAAJ&hl=en&authuser=1
101;Husaini., Prof. Dr. Ir., M.T., IPU ;"1.	Damage and Fracture Mechanics 2.	Computational and Experimental Mechanics 3.	Fracture and Toughening of Polymer Alloy  4.	Fatigue and Failure Analysis 5.	Strength of Material";FT;https://scholar.google.co.id/citations?hl=en&user=5FrFDfkAAAAJ
102;Husni Husin., Prof. Dr. Ir., M.T. ;Heterogeneous catalyst, material green energy: solar cell, biodiesel, fuel cell;FT;
103;Ibnu Rusydy., S.Si., M.Sc. ;Geologi Rekayasa dan Geofisika Terapan;FT;https://scholar.google.co.id/citations?user=sF4w0CoAAAAJ&hl=en&oi=ao
104;Ilyas., Ir., M.T. ;;FT;https://scholar.google.co.id/citations?user=5kP-3SAAAAAJ&hl=en&authuser=1
105;Irwansyah., Dr., ST, M.Eng ;Engineering Design, Rapid Design and Prototyping Engineering, and Precision Measurement system. ;FT;https://scholar.google.com/citations?hl=en&user=tU5SOEEAAAAJ
106;Iskandar., Dr. Ir., ST.M.Eng.Sc., I ;Product Design, Finite Element Analysis, Ergonomics;FT;https://scholar.google.com/citations?hl=en&user=4fuPF0YAAAAJ
107;Izarul Machdar., Dr. Ir., M.Eng ;Environmental Engineering/Wastewater Treatment Technology;FT;https://scholar.google.co.id/citations?user=Kt_9HboAAAAJ&hl=en&citsig=AMstHGSQyStIXJ5GcG9zT_DrWSEpkIYSbg
108;Khairul Munadi., Dr., ST, M.Eng. ;Pengolahan Sinyal Multimedia, Aplikasi TIK untuk Kebencanaan, Knowledge Management;FT;https://scholar.google.co.id/citations?user=ZrGI_MgAAAAJ&hl=en&authuser=1
109;Khairun  Saddami., Dr., S.T ;Document Image Analysis, Pattern Recognition, Deep Learning, Medical Image Processing;FT;https://scholar.google.com/citations?user=22EUc7AAAAAJ
110;M. Dirhamsyah., Dr. Ir., M.T. ;"Sistem Produksi; Manufaktur: Mitigasi Bencana dan Pembangunan Berkelanjutan";FT;https://scholar.google.co.id/citations?hl=en&view_op=list_works&gmla=AJsN-F6ZV-G_kS-OgMKOFrupbYMGJtLqvaKLOCPiAFhKhVU_s0tbG0q5ntvHnw5f1Lybyd2Q1l3FLQnjhp1d8Y2ZL4kDTtkEZA&user=vXR7hmUAAAAJ
111;M. Faisal., Dr., ST., M.Eng ;Environment,recycling technology, biomass, energy;FT;https://scholar.google.co.id/citations?user=eeZbxL8AAAAJ&hl=en
112;M. Nizar Machmud., Dr., S.T., M.Eng ;Mechanics and Strength of Materials, Components and Structures Failure;FT;https://scholar.google.com/citations?user=IcJamrIAAAAJ&hl=en
